community_id,community_size,top_keywords,representative_papers,high_impact_papers
498,1,incomplete; oblique; projections; solving; large; inconsistent,paper_24d228014b2d,paper_24d228014b2d
499,1,extreme; optics; search; earth; like; planets,paper_f3fbbf41abec,paper_f3fbbf41abec
500,1,smoothed; integer; programming,paper_7cc912b4a664,paper_7cc912b4a664
501,1,necessary; optimality; conditions; constrained; optimization; problems,paper_63bb178ccc4d,paper_63bb178ccc4d
502,1,approximating; complex; quadratic; optimization; problems; semidefinite,paper_2d6cb322c77e,paper_2d6cb322c77e
503,1,machine; scheduling; resource; dependent; processing; times,paper_58e559e08f4a,paper_58e559e08f4a
504,1,markovian; traffic; equilibrium,paper_2edb9ce3ab90,paper_2edb9ce3ab90
505,1,dual; versus; primal; interior; point; linear,paper_c0d556eab566,paper_c0d556eab566
506,1,computing; inertia; sign; patterns,paper_62e5f9df11b2,paper_62e5f9df11b2
507,1,geometry; interpolation; sets; derivative; free; optimization,paper_6b779235bd57,paper_6b779235bd57
508,1,path; arrow; debreu; competitive; market; equilibrium,paper_12eb6d44720f,paper_12eb6d44720f
509,1,mathbf; infty; norm; extreme; points; crossing,paper_09ebf5346c8d,paper_09ebf5346c8d
510,1,computing; radius; pointedness; convex; cone,paper_cb001179dc93,paper_cb001179dc93
511,1,graphical; relaxation; symmetric; traveling; salesman; polytope,paper_280ae6ab8798,paper_280ae6ab8798
512,1,corrector; predictor; monotone; linear; complementarity; problems,paper_3dd09ef24e03,paper_3dd09ef24e03
513,1,power; optimization; connectivity; problems,paper_e6789f310cc9,paper_e6789f310cc9
514,1,factors; combinatorial; algorithms; matchings; even; square,paper_659295fe2b0e,paper_659295fe2b0e
515,1,modified; nearly; exact; solving; low; rank,paper_44ac416efd0e,paper_44ac416efd0e
516,1,traveling; salesman; path; problems,paper_28e31df24f02,paper_28e31df24f02
517,1,how; good; interior; point; klee; minty,paper_0c721b83ee9b,paper_0c721b83ee9b
518,1,polyhedral; properties; intersection; two; knapsacks,paper_a693c26e8e63,paper_a693c26e8e63
519,1,aggregation; discretization; multistage; stochastic; programming,paper_14097d986b32,paper_14097d986b32
520,1,optimal; jacobian; accumulation; complete,paper_4028fd994695,paper_4028fd994695
521,1,strengthened; semidefinite; programming; bounds; codes,paper_ec0b19169e81,paper_ec0b19169e81
522,1,adaptive; sampling; line; search; local; stochastic,paper_ed934a5a265d,paper_ed934a5a265d
523,1,sums; random; symmetric; matrices; quadratic; optimization,paper_ad18210dbfc9,paper_ad18210dbfc9
524,1,solution; large; scale; sdp; problems; modified,paper_99b62d34ace8,paper_99b62d34ace8
525,1,asymptotic; behavior; expected; optimal; value; multidimensional,paper_4a3ba66b6350,paper_4a3ba66b6350
526,1,dual; multilevel; optimization,paper_2396237c90cc,paper_2396237c90cc
527,1,solving; large; scale; semidefinite; programs; parallel,paper_3e2f92aacc5e,paper_3e2f92aacc5e
528,1,solving; maximum; entropy; sampling; problems; factored,paper_56efcbddee6e,paper_56efcbddee6e
529,1,large; scale; semidefinite; programs; electronic; structure,paper_f16fe04cbcd5,paper_f16fe04cbcd5
530,1,newton; iterates; can; converge; non; stationary,paper_9644c8fea374,paper_9644c8fea374
531,1,superlinearly; convergent; predictor; corrector; degenerate; lcp,paper_55e367df9df2,paper_55e367df9df2
532,1,random; correction; exact; semidefinite; formulations; class,paper_e25f01546ce0,paper_e25f01546ce0
533,1,complexity; general; matrix; scaling; entropy; minimization,paper_37a05eb90d22,paper_37a05eb90d22
534,1,convergence; multiplier; trust; region; application; decomposition,paper_a08b9b8a281d,paper_a08b9b8a281d
535,1,sparse; proximal; implementation; dual; active; set,paper_47030af37ed4,paper_47030af37ed4
536,1,understanding; acceleration; phenomenon; high; resolution; differential,paper_ff6a30f08b4d,paper_ff6a30f08b4d
537,1,constraint; incorporation; optimization,paper_425cbc3b1953,paper_425cbc3b1953
538,1,domino; parity; inequalities; stsp,paper_fc992c41189b,paper_fc992c41189b
539,1,generating; facets; cut; polytope; graph; triangular,paper_f211ab1cfa19,paper_f211ab1cfa19
540,1,quadratic; sdp; quality; bounds; convex; relaxations,paper_f8ae401311dc,paper_f8ae401311dc
541,1,mesh; shape; quality; optimization; inverse; mean,paper_47113106a264,paper_47113106a264
542,1,equilibria; networks; malicious; users,paper_359fdb561450,paper_359fdb561450
543,1,underlying; paths; interior; point; monotone; semidefinite,paper_2afef638d628,paper_2afef638d628
544,1,lower; bound; equivalence; max; min; transportation,paper_f3fd8ec5240c,paper_f3fd8ec5240c
545,1,active; constraint; variable; ordering; faster; feasibility,paper_39e13492ab12,paper_39e13492ab12
546,1,population; hard; global; optimization; problems; dissimilarity,paper_3429defbcfba,paper_3429defbcfba
547,1,error; bounds; regularized; gap; functions; nonsmooth,paper_e74ff6396850,paper_e74ff6396850
548,1,extension; sums; squares; relaxations; polynomial; optimization,paper_925274f524cd,paper_925274f524cd
549,1,universal; duality; conic; convex; optimization,paper_a5078a59f125,paper_a5078a59f125
550,1,computational; large; scale; median; problems,paper_6ff58109e4ea,paper_6ff58109e4ea
551,1,restricted; robust; uniform; matroid; maximization; interval,paper_1ed821e09fff,paper_1ed821e09fff
552,1,mean; variance; waiting; time; their; optimization,paper_1655c4e26bc3,paper_1655c4e26bc3
553,1,convergence; proximal; solutions; evolution; inclusions; time,paper_954b4aecefd7,paper_954b4aecefd7
554,1,solving; multistage; asset; investment; problems; sample,paper_ac943e0cf1ac,paper_ac943e0cf1ac
555,1,alain; billionnet; cdot; sourour; elloumi,paper_8112589cb1f9,paper_8112589cb1f9
556,1,packing; convex; quadratic; constraints,paper_eaa2ad22d622,paper_eaa2ad22d622
557,1,fair; colorful; center; clustering,paper_ad99cd43ca61,paper_ad99cd43ca61
558,1,tight; approximation; bounds; maximum; multi; coverage,paper_4f2b592b5bf9,paper_4f2b592b5bf9
559,1,andy; philpott; cdot; diger; schultz,paper_1c52e704f046,paper_1c52e704f046
560,1,global; optima; results; kauffman; model; handling,paper_21ec5bcdee53,paper_21ec5bcdee53
561,1,assessing; solution; quality; stochastic; programs,paper_815c3f1a0652,paper_815c3f1a0652
562,1,resolution; ode; framework; understanding; discrete; time,paper_afef8688042c,paper_afef8688042c
563,1,persistence; discrete; optimization; data; uncertainty,paper_913f788e1edd,paper_913f788e1edd
564,1,alejandro; jofre; cdot; jorge; rivera; cayupi,paper_4a846f589cc5,paper_4a846f589cc5
565,1,optimal; crashing; activity; network; disruptions,paper_dd48456050e5,paper_dd48456050e5
566,1,globally; convergent; limited; memory; bundle; large,paper_b3d229787811,paper_b3d229787811
567,1,alper; atamt,paper_0ecf31c13701,paper_0ecf31c13701
568,1,solving; class; stochastic; mixed; integer; programs,paper_d23a23c7fa80,paper_d23a23c7fa80
569,1,matrix; generation; eigenvalue; optimization; star,paper_e95a53d4d688,paper_e95a53d4d688
570,1,quadratic; optimization; switching; variables; convex; hull,paper_6b2745818a7c,paper_6b2745818a7c
571,1,simple; integer; recourse; models; convexity; convex,paper_8db75d1a09aa,paper_8db75d1a09aa
572,1,fast; frac; approximation; algorithm; capacitated; cycle,paper_c549d5352750,paper_c549d5352750
573,1,core; nucleolus; games; note; paper; lundgren,paper_572503bc64f1,paper_572503bc64f1
574,1,stephen; wright,paper_ee991404e607,paper_ee991404e607
575,1,programming; sensitivity; linear; semidefinite; interior; point,paper_78064cc9eaf9,paper_78064cc9eaf9
576,1,characterization; convexity; preserving; maps; davidon; collinear,paper_a7552fbb4513,paper_a7552fbb4513
577,1,optimality; conditions; nonconvex; semidefinite; programming,paper_390b9b66e0d6,paper_390b9b66e0d6
578,1,computing; nucleolus; some; combinatorially; structured; games,paper_68204312af65,paper_68204312af65
579,1,pierre; mar; chal,paper_7cbf99d49f29,paper_7cbf99d49f29
580,1,pasquale; avella; cdot; antonio; sassano,paper_524f67c12f46,paper_524f67c12f46
581,1,solitaire; cone; its; relationship; multi; commodity,paper_86f5773fa3ef,paper_86f5773fa3ef
582,1,stability; solutions; quadratic; programming; problems,paper_330e08a426b9,paper_330e08a426b9
583,1,bootstrap; robust; prescriptive; analytics,paper_1f65e28b9e4e,paper_1f65e28b9e4e
584,1,generalized; assignment; problem; special; ordered; sets,paper_ddf9e059f966,paper_ddf9e059f966
585,1,first; order; characterization; generalized; monotonicity,paper_fa67c7daa8ae,paper_fa67c7daa8ae
586,1,approximating; two; level; facility; location; problem,paper_3595610c427e,paper_3595610c427e
587,1,bounds; linear; pdes; semidefinite; optimization,paper_3f1488940949,paper_3f1488940949
588,1,sturm; cdot; zhang,paper_2f5298e02b4b,paper_2f5298e02b4b
589,1,stochastic; programming; model; endogenously; determined; worst,paper_9ed85b3527e1,paper_9ed85b3527e1
590,1,modeling; languages; condor; metacomputing; optimization,paper_adeb3c1424fa,paper_adeb3c1424fa
591,1,transaction; portfolio; optimization; problem; concave; costs,paper_0732900238fb,paper_0732900238fb
592,1,convergence; efficiency; subgradient; quasiconvex; minimization,paper_28bd84f11de0,paper_28bd84f11de0
593,1,quadratic; convergence; potential; reduction; degenerate; problems,paper_87612a9bac1c,paper_87612a9bac1c
594,1,hesitant; adaptive; search; distribution; number; iterations,paper_6b8411802fe7,paper_6b8411802fe7
595,1,way; fast; algorithm; computing; minimum; cuts,paper_61183466b26a,paper_61183466b26a
596,1,seetharama; gowda; cdot; yoon; song,paper_2b741c9f698c,paper_2b741c9f698c
597,1,characterizations; bounds; probabilistic; two; complexity; measures,paper_101989ff24b8,paper_101989ff24b8
598,1,integrated; simulation; optimization; models; tracking; international,paper_b637c4c6b46c,paper_b637c4c6b46c
599,1,fran; ois; oustry,paper_4ba0384fd8a6,paper_4ba0384fd8a6
600,1,uncapacitated; lot; sizing; problem; sales; safety,paper_9b7ad14a6c1a,paper_9b7ad14a6c1a
601,1,modified; weiszfeld; algorithm; fermat; weber; location,paper_d1dcef275ce0,paper_d1dcef275ce0
602,1,quadratic; bound; assignment; problem; convex; programming,paper_c186727a3e97,paper_c186727a3e97
603,1,epsilon; relaxation; separable; convex; cost; generalized,paper_1615f7af8555,paper_1615f7af8555
604,1,penalized; fischer; burmeister; ncp; function,paper_dd6953c10f1a,paper_dd6953c10f1a
605,1,consistency; stochastic; dominance; mean; semideviation; models,paper_1a2a51786743,paper_1a2a51786743
606,1,burke; maijian; qian,paper_ba11f439596e,paper_ba11f439596e
607,1,lemarechal; cdot; renaud,paper_2a700ac6551c,paper_2a700ac6551c
608,1,change; generalized; indices; stationary; solutions; multiparametric,paper_5079a4136b0e,paper_5079a4136b0e
609,1,conditions; ensuring; applicability; cutting; plane; solving,paper_907035c12212,paper_907035c12212
610,1,log; barrier; benders; decomposition; solving; two,paper_f9e354b4cabf,paper_f9e354b4cabf
611,1,strong; inequalities; capacitated; survivable; network; design,paper_7bd52a7c0e54,paper_7bd52a7c0e54
612,1,set; packing; relaxations; some; integer; programs,paper_28527e3165b8,paper_28527e3165b8
613,1,discretization; localization; successive; convex; relaxation; nonconvex,paper_729d33b28262,paper_729d33b28262
614,1,combinatorial; relaxation; algorithm; mixed; polynomial; matrices,paper_d3d45446407a,paper_d3d45446407a
615,1,solving; asymmetric; travelling; salesman; problem; time,paper_486dfe95b41b,paper_486dfe95b41b
616,1,risk; credit; optimization; conditional; value; criterion,paper_90f94bd4e8eb,paper_90f94bd4e8eb
617,1,concavity; cuts; disjoint; bilinear; programming,paper_7633a3aa9f9d,paper_7633a3aa9f9d
618,1,parallel; machine; scheduling; high; multiplicity,paper_ba9d943eff0d,paper_ba9d943eff0d
619,1,szl; lipt; cdot; lov,paper_18bb4340136a,paper_18bb4340136a
620,1,cdot; rard; cornu; jols; bertrand; guenin,paper_d00b03278c99,paper_d00b03278c99
621,1,pflug,paper_ca02c71f48cd,paper_ca02c71f48cd
622,1,single; period; financial; optimization; models,paper_cdb9e45400d9,paper_cdb9e45400d9
623,1,vertex; disjoint; packing; two; steiner; trees,paper_9f6d4125be7a,paper_9f6d4125be7a
624,1,two; homogeneous; self; dual; approaches; linear,paper_02011a6031d2,paper_02011a6031d2
625,1,michele; aghassi; cdot; dimitris; bertsimas,paper_2eaafcfa564a,paper_2eaafcfa564a
626,1,mathieu; van; vyve,paper_3dc694dd2e8c,paper_3dc694dd2e8c
627,1,inequalities; zigzag; class; facet; inducing; arc,paper_90adc1315cbc,paper_90adc1315cbc
628,1,varepsilon; approximation; algorithm; mst; problem,paper_07de12d41c60,paper_07de12d41c60
629,1,erdo; cdot; iyengar,paper_770c64ac0697,paper_770c64ac0697
630,1,constrained; minimum; weighted; sum; job; completion,paper_95171155d449,paper_95171155d449
631,1,gap; between; quadratic; integer; programming; problem,paper_7e388fb117e4,paper_7e388fb117e4
632,1,robust; mean; squared; error; estimation; multiple,paper_6a6ec70b920b,paper_6a6ec70b920b
633,1,convergence; rate; newton; spectral; estimation,paper_39977f27f970,paper_39977f27f970
634,1,robust; global; optimization; polynomials,paper_a9edabdbba1c,paper_a9edabdbba1c
635,1,note; lipschitz; continuity; gradient; squared; norm,paper_0ba32cc3e56f,paper_0ba32cc3e56f
636,1,ravi; amitabh; sinha,paper_54bf122053b2,paper_54bf122053b2
637,1,robust; optimization; dynamic; pricing; inventory; control,paper_cc3a10fd5380,paper_cc3a10fd5380
638,1,robust; optimization; contaminant; sensor; placement; community,paper_56f7a9d5b055,paper_56f7a9d5b055
639,1,optimization; flag; manifolds,paper_52778da9ce70,paper_52778da9ce70
640,1,solving; discrete; zero; point; problems,paper_0f1c31351cad,paper_0f1c31351cad
641,1,competitive; multi; period; pricing; perishable; products,paper_4135ab8dd735,paper_4135ab8dd735
642,1,martin; dyer; cdot; leen; stougie,paper_90f98e05d469,paper_90f98e05d469
643,1,laurence; wolsey,paper_c1a320f8e52d,paper_c1a320f8e52d
644,1,maximum; network; flows; concave; gains,paper_df52feac3d8e,paper_df52feac3d8e
645,1,asymptotic; behaviour; family; gradient; algorithms; mathbb,paper_82d65a997d93,paper_82d65a997d93
646,1,olga; kostyukova; cdot; ekaterina; kostina,paper_d50e301a9478,paper_d50e301a9478
647,1,cdot; rin; marcotte; savard,paper_97041d701597,paper_97041d701597
648,1,teresa; chu,paper_dc98036aea4d,paper_dc98036aea4d
649,1,optimal; terminal; cuts; linear; programming,paper_05048a4b483f,paper_05048a4b483f
650,1,cornu; jols; cdot; lemar; chal,paper_efd18dc78a6f,paper_efd18dc78a6f
651,1,linear; programming; formulation; maximum; complete; multipartite,paper_f66b919fb108,paper_f66b919fb108
652,1,conditional; value; risk; stochastic; programs; mixed,paper_ca2e9137db58,paper_ca2e9137db58
653,1,approximation; algorithm; general; max; min; resource,paper_4a9589698367,paper_4a9589698367
654,1,robert; freund,paper_334fa6b5c5ad,paper_334fa6b5c5ad
655,1,polyhedral; generalized; vertex; packing; problem,paper_18c493893e0f,paper_18c493893e0f
656,1,kathie; cameron; cdot; pavol; hell,paper_9e392797df44,paper_9e392797df44
657,1,critical; extreme; points; edge; connected; spanning,paper_0fa4379e9366,paper_0fa4379e9366
658,1,testing; strength,paper_e3d2675964f9,paper_e3d2675964f9
659,1,ilp; refinement; heuristic; vehicle; routing; problems,paper_9edb1092bce8,paper_9edb1092bce8
660,1,fptas; single; item; capacitated; economic; lot,paper_db3838fb0282,paper_db3838fb0282
661,1,convexity; decomposition; mean; risk; stochastic; programs,paper_eff7ffb18925,paper_eff7ffb18925
662,1,shebalov; cdot; klabjan,paper_7fecf58e3beb,paper_7fecf58e3beb
663,1,controlled; rounding; cell; perturbation; statistical; disclosure,paper_f1d5592d24fc,paper_f1d5592d24fc
664,1,polyhedra; related; integer; convex; polynomial; systems,paper_1d10e1c3ac8c,paper_1d10e1c3ac8c
665,1,complexity; planar; directed; edge; disjoint; paths,paper_6e96d08b44b9,paper_6e96d08b44b9
666,1,almost; all; webs; not; rank; perfect,paper_d1fb092da6bd,paper_d1fb092da6bd
667,1,algorithms; singly; linearly; constrained; quadratic; programs,paper_442c6eb408d1,paper_442c6eb408d1
668,1,static; arbitrage; bounds; basket; option; prices,paper_3d784165a1b4,paper_3d784165a1b4
669,1,status; determination; interior; point; convex; optimization,paper_a2a22464c03f,paper_a2a22464c03f
670,1,note; undirected; rural; postman; problem; polytope,paper_b4b6e80b130f,paper_b4b6e80b130f
671,1,combinatorial; algorithm; computing; rank; generic; partitioned,paper_36f20609e175,paper_36f20609e175
672,1,linear; optimization; wasserstein; balls,paper_36e6a3048fad,paper_36e6a3048fad
673,1,spectral; bundle; non; convex; maximum; eigenvalue,paper_ce1b434986d6,paper_ce1b434986d6
674,1,typical; convex; program; very; well; posed,paper_026cadf525b7,paper_026cadf525b7
675,1,calmness; constraint; systems; applications,paper_63d42b460c03,paper_63d42b460c03
676,1,error; bounds; eigenvalue; semidefinite; matrix; inequality,paper_9b405525cc53,paper_9b405525cc53
677,1,sufficient; matrices; belong; mathbf,paper_72cbe9f1eba3,paper_72cbe9f1eba3
678,1,decomposition; dynamic; cut; generation; integer; linear,paper_f160cf22958a,paper_f160cf22958a
679,1,hans; jakob; thi; cdot; doege,paper_425edadbd87c,paper_425edadbd87c
680,1,improved; complexity; results; solving; real; number,paper_14f40ff419da,paper_14f40ff419da
681,1,geometric; condition; fenchel; duality; infinite; dimensional,paper_2a99afbebcb5,paper_2a99afbebcb5
682,1,local; minimax; characterization; computing; multiple; nonsmooth,paper_ac18fecdd757,paper_ac18fecdd757
683,1,interval; constrained; global; optimization,paper_3660ae306051,paper_3660ae306051
684,1,subgradient; distance; functions; applications; lipschitzian; stability,paper_27edebf456d1,paper_27edebf456d1
685,1,collusive; game; solutions; optimization,paper_35c00899e8c2,paper_35c00899e8c2
686,1,variational; functions; roots; polynomials,paper_ed0202cb3754,paper_ed0202cb3754
687,1,dominikus; noll; cdot; pierre; apkarian,paper_0affa3795e02,paper_0affa3795e02
688,1,global; optima; results; kauffman; model,paper_045db5fbe0be,paper_045db5fbe0be
689,1,relaxation; optimal; control; problem; involving; perturbed,paper_5e092805dbcc,paper_5e092805dbcc
690,1,jein; shan; chen; cdot; paul; tseng,paper_1a691953d8d0,paper_1a691953d8d0
691,1,newton; nonsmooth; convex; minimization; connections; among,paper_e0cfe2edbea9,paper_e0cfe2edbea9
692,1,mathcal; algorithm; convex; minimization,paper_3ff679ad0aaf,paper_3ff679ad0aaf
693,1,lexicographic; differentiation; nonsmooth; functions,paper_e8e787cfb69c,paper_e8e787cfb69c
694,1,ric; bonnans; cdot; ctor; ram; rez,paper_a556d13fce62,paper_a556d13fce62
695,1,enumerative; inequalities; integer; programming,paper_a436f1452970,paper_a436f1452970
696,1,ranking; convex; functions,paper_96b1f5708b86,paper_96b1f5708b86
697,1,language; nonlinear; programming; problems,paper_a2a7f876a0a6,paper_a2a7f876a0a6
698,1,balanced; hypergraphs,paper_e8430890b5d0,paper_e8430890b5d0
699,1,extremization; functions; equality; constraints,paper_7b71b406ec73,paper_7b71b406ec73
700,1,xin; chen; cdot; houduo,paper_967ce8941221,paper_967ce8941221
701,1,primal; dual; nonlinear; rescaling; dynamic; scaling,paper_b20de006ed41,paper_b20de006ed41
702,1,optimized; relative; step; size; random; searches,paper_cc81eb679960,paper_cc81eb679960
703,1,note; complementary; variant; lemke,paper_1e7d495d5090,paper_1e7d495d5090
704,1,analytical; solution; dynamic; transaction; flow; problem,paper_cd9f74c18aed,paper_cd9f74c18aed
705,1,eclectic; primal; algorithm; cutting; plane; that,paper_51c02ddecd91,paper_51c02ddecd91
706,1,theorem; fixed; point; including; last; poincare,paper_a505493af18b,paper_a505493af18b
707,1,procedure; rank; bases; probability; being; optimal,paper_396bbdb00a1c,paper_396bbdb00a1c
708,1,specialised; versus; general; purpose; algorithms; minimising,paper_aeb7cbe0342f,paper_aeb7cbe0342f
709,1,algorithm; determination; longest; distances; graph,paper_b242f2355879,paper_b242f2355879
710,1,extension; curry; theorem; steepest; descent; normed,paper_93054cb9afb2,paper_93054cb9afb2
711,1,general; saddle; point; condition; normed; spaces,paper_9c61993d2da6,paper_9c61993d2da6
712,1,convergence; conditions; restated; conjugate; gradient; inaccurate,paper_a8b2f0daecf2,paper_a8b2f0daecf2
713,1,quadratic; duality; convex; cone; domains,paper_5e7c0445913e,paper_5e7c0445913e
714,1,some; computationally; relevant; group; theoretic; structures,paper_3f34cffb4229,paper_3f34cffb4229
715,1,number; solutions; linear; complementary; problem,paper_e901dd4c8a3b,paper_e901dd4c8a3b
716,1,practical; convergence; conditions; davidon; fletcher; powell,paper_b80d43262ccc,paper_b80d43262ccc
717,1,projections; minimax; algebra,paper_9799dd664cf9,paper_9799dd664cf9
718,1,some; theoretical; implications; local; optimization,paper_a572b02f70ee,paper_a572b02f70ee
719,1,quasi; balanced; matrices; addendum,paper_74291d9f71d3,paper_74291d9f71d3
720,1,fractional; programming; without; differentiability,paper_16b2055aca75,paper_16b2055aca75
721,1,strongly; degenerate; complementary; cones; solution; rays,paper_4b5f39b89177,paper_4b5f39b89177
722,1,readily; implementable; conjugate; gradient,paper_4fede7c0665b,paper_4fede7c0665b
723,1,computational; complexity; inner; outer; radii; polytopes,paper_e8a62af58f87,paper_e8a62af58f87
724,1,class; convergent; primal; dual; subgradient; algorithms,paper_de1803107ef2,paper_de1803107ef2
725,1,integer; cutting; planes; programs; general; variables,paper_92e422d38fc8,paper_92e422d38fc8
726,1,integer; programming; class; combinatorial; problems,paper_e29400396cf7,paper_e29400396cf7
727,1,second; order; necessary; optimality; conditions; minimizing,paper_e51bd38e43a1,paper_e51bd38e43a1
728,1,concavity; quasi; pseudo; cubic; functions,paper_44c76897ae8f,paper_44c76897ae8f
729,1,optimization; approximate; lagrangian,paper_82b2b482b57e,paper_82b2b482b57e
730,1,copositive; mathbf; matrix; which; not,paper_294dcea9121e,paper_294dcea9121e
731,1,improved; penalty; calculations; mixed; integer; branch,paper_bea169f42721,paper_bea169f42721
732,1,exchange; price; equilibria; variational; inequalities,paper_82d57736816a,paper_82d57736816a
733,1,unified; one; parametric; general; quadratic; programming,paper_abd97cd335f6,paper_abd97cd335f6
734,1,pure; adaptive; search; global; optimization,paper_aed6189cac10,paper_aed6189cac10
735,1,self; scaling; quasi; newton,paper_94a0129578c6,paper_94a0129578c6
736,1,cyclical; games; prohibitions,paper_0e0a1647b470,paper_0e0a1647b470
737,1,cuts; polyhedron; all; vertices; adjacency,paper_44dfb91ec7a6,paper_44dfb91ec7a6
738,1,tensor; large; sparse; systems; nonlinear; equations,paper_37b4268fde63,paper_37b4268fde63
739,1,hesitant; adaptive; search; global; optimisation,paper_fa1d7c5a9f30,paper_fa1d7c5a9f30
740,1,persistence; quadratic; optimization,paper_bcaa4c06c612,paper_bcaa4c06c612
741,1,fenchel; type; duality; matroid; valuations,paper_1d8d82845d78,paper_1d8d82845d78
742,1,examples; max; flow; min; cut; problems,paper_18b6aab498be,paper_18b6aab498be
743,1,implementing; efficient; minimum; capacity; cut; algorithm,paper_a498b9283ddd,paper_a498b9283ddd
744,1,hybrid; programs; linear; least; distance,paper_99bc3bdc9bb2,paper_99bc3bdc9bb2
745,1,global; minimum; test; problem; construction,paper_3f81bafa93b1,paper_3f81bafa93b1
746,1,homotopy; finding; all; roots; polynomial,paper_59b330b33f68,paper_59b330b33f68
747,1,european; assembly; constituencies; wales; comparing; solving,paper_7aa00af96b5c,paper_7aa00af96b5c
748,1,cutting; stock; problem; integer; rounded,paper_05c495959e78,paper_05c495959e78
749,1,forest; covers; polyhedral; intersection; theorem,paper_13c262b9241d,paper_13c262b9241d
750,1,mathrm; adaptive; path; following; algorithm; linear,paper_d118c2cea883,paper_d118c2cea883
751,1,systems; finding; all; solutions; polynomial; other,paper_f692385b70ba,paper_f692385b70ba
752,1,bounded; linear; regularity; convex; sets; banach,paper_f3ed1231f479,paper_f3ed1231f479
753,1,plane; sections; simplices,paper_2c8dd72dc9d2,paper_2c8dd72dc9d2
754,1,linear; complementarity; problems; multiple; objective; programming,paper_e7a361ffb907,paper_e7a361ffb907
755,1,testing; balancedness; perfection; linear; matrices,paper_60afeb7edaf6,paper_60afeb7edaf6
756,1,matrices,paper_28b375647c8f,paper_28b375647c8f
757,1,computation; equilibria; economy; increasing; returns; scale,paper_c843a4ef20b1,paper_c843a4ef20b1
758,1,generalized; knapsack; problem; variable; coefficients,paper_fa17c28745cd,paper_fa17c28745cd
759,1,solvable; case; traveling; salesman; problem,paper_9255a280af78,paper_9255a280af78
760,1,random; inequality; constraint; systems; few; variables,paper_dacc8dfb251c,paper_dacc8dfb251c
761,1,second; order; derivative; connections; between; approximate,paper_1a5581d31b34,paper_1a5581d31b34
762,1,unification; two; classes; matrices,paper_cf186d2bd515,paper_cf186d2bd515
763,1,property; continuous; unbounded; algorithms,paper_72039cc72908,paper_72039cc72908
764,1,pin; redistribution; problem; multi; chip; modules,paper_cad8752d45eb,paper_cad8752d45eb
765,1,random; linear; programs; many; variables; few,paper_a0c56a6ec932,paper_a0c56a6ec932
766,1,conditions; discovery; solution; horizons,paper_593ce8c8b61c,paper_593ce8c8b61c
767,1,monotonic; passy; like; algorithm; modular; design,paper_914a117f0747,paper_914a117f0747
768,1,recession; cones; domination; property; vector; optimization,paper_fb59b44236ef,paper_fb59b44236ef
769,1,pivoting; normalize; basic; matrix,paper_eb3239559e5d,paper_eb3239559e5d
770,1,mathematical; programming; oberwolfach,paper_76d4b7b74d37,paper_76d4b7b74d37
771,1,value; functions; domination; cones; proper; efficiency,paper_6a8402e2d24d,paper_6a8402e2d24d
772,1,another; note; bimatrix; games,paper_4f5b93609785,paper_4f5b93609785
773,1,structural; properties; decomposition; linear; balanced; matrices,paper_95488307dd6d,paper_95488307dd6d
774,1,optimal; expansion; existing; network,paper_5c09170608b0,paper_5c09170608b0
775,1,note; necessary; conditions; exact; aggregation; linear,paper_d599caa57d8f,paper_d599caa57d8f
776,1,hierarchical; partition; optimal; pivoting; algorithm,paper_7fdb994e4cef,paper_7fdb994e4cef
777,1,efficient; algorithm; minimum; covers; weighted; graphs,paper_aff94c53bf81,paper_aff94c53bf81
778,1,contingent; derivatives; set; valued; maps; applications,paper_4b055e909a45,paper_4b055e909a45
779,1,algorithm; piecewise; linear; model; trade; production,paper_26feb39918b0,paper_26feb39918b0
780,1,matrix; factorizations; optimization; nonlinear; functions; subject,paper_767a6695424a,paper_767a6695424a
781,1,area; efficient; drawings; rectangular; duals; vlsi,paper_1fdfe59e4339,paper_1fdfe59e4339
782,1,fractional; knapsack; problems,paper_abc56d74606d,paper_abc56d74606d
783,1,formulating; objective; economy,paper_8074679ebd19,paper_8074679ebd19
784,1,scheduling; positional; completion; times; two; stage,paper_a453897d9511,paper_a453897d9511
785,1,hybrid; discrete; mathematical; programming,paper_ea4614706590,paper_ea4614706590
786,1,pure; adaptive; search; monte; carlo; optimization,paper_7ed8d422f9e4,paper_7ed8d422f9e4
787,1,hierarchical; decomposition; symmetric; discrete; systems; matroid,paper_f5313c298a13,paper_f5313c298a13
788,1,deforming; subdivisions,paper_7afaf096d4a2,paper_7afaf096d4a2
789,1,worst; case; greedy; related; heuristics; some,paper_7f10268da74b,paper_7f10268da74b
790,1,some; recent; results; person; game; theory,paper_0c4d2eb5784e,paper_0c4d2eb5784e
791,1,experiments; mixed; integer; linear; programming,paper_871c55beb56b,paper_871c55beb56b
792,1,cyclic; subgradient; projections,paper_4d63bbcb8c2e,paper_4d63bbcb8c2e
793,1,algorithms; generalized; fractional; programming,paper_8a45bd078dfd,paper_8a45bd078dfd
794,1,class; linear; variational; inequalities,paper_f693c745d55e,paper_f693c745d55e
795,1,solution; behavior; parametric; implicit; complementarity; problems,paper_830934b8adff,paper_830934b8adff
796,1,note; theorem; browder,paper_9e535ce47703,paper_9e535ce47703
797,1,triangulation; simplicial; homotopy; algorithms; computing; solutions,paper_932981c3e2fa,paper_932981c3e2fa
